legacy_uuid,legacy_name,legacy_identifier,legacy_type,ref_count,field,target_name,target_identifier,target_type,method,confidence,apply,relation_action,notes,software
bbcdfe78-6bef-4991-9630-a31cace7694b,UAF Geophysical Institute / GIMA,,Observatory,1,Observatories,,,,manual,low,no,,no canonical name match,GIMAmag
a50cfb1f-0342-491e-994d-39cb02577497,GOES-13 Imager,,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,GOESutils
04b610f5-7b88-4ec8-af91-0eed8de8b6b1,GOES-16 Advanced Baseline Imager (ABI),,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,GOESutils
59a52be7-33d6-4351-a642-5816aeb7d72b,GOES-13 (Geostationary Operational Environmental Satellite-13),,Observatory,1,Observatories,Geostationary Operational Environmental Satellite 13,https://spase-metadata.org/SMWG/Observatory/GOES/13,Observatory,name-match,high,yes,rewrite,GOESutils description explicitly supports GOES-13,GOESutils
f2abca26-cae4-487d-bf6f-ffb599e41faf,GOES-16 (Geostationary Operational Environmental Satellite-16),,Observatory,1,Observatories,Geostationary Operational Environmental Satellite 16,https://spase-metadata.org/SMWG/Observatory/GOES/16,Observatory,name-match,high,yes,rewrite,GOESutils description explicitly supports GOES-16,GOESutils
3ae4f75e-988c-42f2-b3a5-d6252c0b5a0a,GOES East,,Observatory,1,Observatories,,,,manual,low,no,,no canonical name match,GOESutils
43913ebd-a298-4303-a848-6ba155485733,NEXRAD (Next-Generation Radar),,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,NEXRADutils
0626c0bc-1687-4fb2-9458-6779e20964b0,NEXRAD Network,,Observatory,1,Observatories,,,,manual,low,no,,no canonical name match,NEXRADutils
3a5b03b8-fb80-496b-912a-340d588af87e,DMSP SSJ,,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,OCBpy
0951b432-94fe-40b5-be28-8e36cba3744c,COSMIC-2,,Observatory,1,Observatories,,,,manual,low,no,,no canonical name match,OMMBV
777d1fa7-20e4-4909-9556-ae76f08d4987,Ionosonde,,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,POLAN
1a2f26dd-803d-4865-81b4-a148085cc08a,THEMIS All-Sky Imager (ASI),,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,PyAuroraX
a5087df8-6d9a-480f-b430-0ebec12b4175,Scanning Doppler Interferometer,,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,Scanning Doppler Interferometer
4cd126d5-6fba-44f9-89b3-e8ae60b0c794,PMC-Turbo,https://doi.org/10.7916/d8-az4s-b142,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,SkyWinder
de34c89a-5943-4fae-bb71-a24b118c8c75,OMNI,https://helio.data.nasa.gov/mission/OMNI,Observatory,1,Observatories,OMNI,https://spase-metadata.org/SMWG/Observatory/OMNI,Observatory,helio-bridge,high,yes,rewrite,,Speasy
6feff32e-6ed1-46d4-8bf2-15744ea9281e,Mars Express,https://helio.data.nasa.gov/mission/MarsExpress,Observatory,1,Observatories,Mars Express,https://spase-metadata.org/SMWG/Observatory/MarsExpress,Observatory,helio-bridge,high,yes,rewrite,,SPEDAS (Space Physics Environment Data Analysis System)
246edc4d-6e4e-4861-b31a-94c76ddb83cc,Venus Express,https://helio.data.nasa.gov/mission/VenusExpress,Observatory,1,Observatories,Venus Express,https://spase-metadata.org/SMWG/Observatory/VenusExpress,Observatory,helio-bridge,high,yes,rewrite,,SPEDAS (Space Physics Environment Data Analysis System)
32fd476f-6176-4c69-a677-78b4b20de603,GOES X-Ray Sensor (XRS),,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,sunkit-instruments
fc5845c3-6c17-43ae-8e17-fd31f5fab426,Solar Ultraviolet Imager (SUVI),,Instrument,1,Instruments,Solar Ultraviolet Imager,https://spase-metadata.org/NOAA/Instrument/GOES/17/SUVI,Instrument,name-match,low,no,rewrite,KEEP MANUAL - 4 same-name candidates (GOES-16/17/18/19); needs software-specific evidence to pick one or multiple,sunkit-instruments
5e806d67-10fb-48b1-a4a7-a00151530595,THEMIS All-Sky Imagers (ASI),,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,THEMISasi
4fbfb10e-dafc-4c0b-9e2b-063115da5d15,THEMIS (Time History of Events and Macroscale Interactions during Substorms),,Observatory,1,Observatories,Time History of Events and Macroscale Interactions during Substorms,https://spase-metadata.org/SMWG/Observatory/THEMIS,Observatory,name-match-corrected,high,yes,rewrite,corrected from CNES/Observatory/CDPP-Archive/THEMIS to authoritative SMWG mission row; THEMISasi description is THEMIS ASI data,THEMISasi
70995fc3-7ffc-4f0a-84ec-854e4565a9d0,SECCHI (Sun Earth Connection Coronal and Heliospheric Investigation),,Instrument,1,Instruments,,,,manual,low,no,,no canonical name match,TomograPy
