id,name,identifier,funder
0f3ceaf3-c768-4781-869c-76d684e9cecd,NASA DRIVE Science Center,80NSSC20K0600,a4e07475-572f-48db-b2e7-5d59ea194465
20f8b053-6983-4c13-849e-92b2fe839afd,NASA Heliophysics Supporting Research,80NSSC20K1313,a4e07475-572f-48db-b2e7-5d59ea194465
3f8caee6-0f62-4119-92a9-41bd563f43b1,NASA Hinode program support,,a4e07475-572f-48db-b2e7-5d59ea194465
d6458790-fd93-4112-8aaf-17dbe820f31f,NASA HMI contract to Stanford University,NAS5-02139,a4e07475-572f-48db-b2e7-5d59ea194465
f9647783-ec64-4e97-9477-1d95410037d2,NASA HSR grant,80NSSC19K0855,a4e07475-572f-48db-b2e7-5d59ea194465
3fa6e49a-dee9-47cb-a48f-87d9cb33b5cf,NASA Living With a Star,80NSSC17K0681,a4e07475-572f-48db-b2e7-5d59ea194465
898d34f3-a1e1-422a-818a-040d9fe6b4b0,NASA Living With a Star,80NSSC20K0185,a4e07475-572f-48db-b2e7-5d59ea194465
52979117-9fce-4467-a1ee-d51b8ee1258a,NASA Living With a Star,80NSSC20K0190,a4e07475-572f-48db-b2e7-5d59ea194465
d1648e45-57f1-42dc-8f2e-60bfc983d81b,NASA Living With a Star,80NSSC20K1778,a4e07475-572f-48db-b2e7-5d59ea194465
44ccbf3c-f6aa-416d-a6c2-c0955452b5f3,NASA Magnetospheric Multiscale,80NSSC19K0564,a4e07475-572f-48db-b2e7-5d59ea194465
084511c1-ea7a-4b07-8bcd-e677b222a461,NASA Postdoctoral Program,,a4e07475-572f-48db-b2e7-5d59ea194465
5d4cd37a-d7c3-4d30-b441-48183362d026,NASA SDO/AIA contract to Lockheed Martin Solar and Astrophysics Laboratory,NNG04EA00C,a4e07475-572f-48db-b2e7-5d59ea194465
fbcfb0dc-ff8e-414a-ac5e-db7ec1a1b5c2,NASA Solar System Workings,80NSSC20K0854,a4e07475-572f-48db-b2e7-5d59ea194465
0891547a-b63b-4b9c-90ab-f5dca4a02861,National Aeronautics and Space Administration award,80NSSC21K0047,a4e07475-572f-48db-b2e7-5d59ea194465
295eb333-38f3-456f-a05a-4cda6a5abf1e,National Aeronautics and Space Administration contract,NNN06AA01C,a4e07475-572f-48db-b2e7-5d59ea194465
c9953b00-27eb-4a5e-84b8-6ff8be6b1dcb,National Aeronautics and Space Administration grant,80NSSC21K1318,a4e07475-572f-48db-b2e7-5d59ea194465
abefdf84-d4c9-4960-b610-d4dd05220f5b,National Aeronautics and Space Administration grant,80NSSC21K1354,a4e07475-572f-48db-b2e7-5d59ea194465
15ea04fe-2e0b-4cf9-8791-3e73b6edd9a1,National Aeronautics and Space Administration grant,80NSSC21K0458,a4e07475-572f-48db-b2e7-5d59ea194465
54188328-6bdf-45dd-b831-f51aa4008361,National Aeronautics and Space Administration grant,80NSSC24K0071,a4e07475-572f-48db-b2e7-5d59ea194465
d3c4f9a6-6af0-4eba-b1ed-6e8127be7201,National Aeronautics and Space Administration grant,80NSSC20K0195,a4e07475-572f-48db-b2e7-5d59ea194465
1f0b1ea1-354c-4b51-8eed-2d89ed323e3a,National Aeronautics and Space Administration grant,80NSSC24K0552,a4e07475-572f-48db-b2e7-5d59ea194465
f1e01e3a-10d5-41e1-b033-cbbd7816f5e2,National Aeronautics and Space Administration grant,80NSSC24K0260,a4e07475-572f-48db-b2e7-5d59ea194465
4f0ca594-3700-453e-ad07-576ed8f4d0e3,National Aeronautics and Space Administration grant,80NSSC20K1273,a4e07475-572f-48db-b2e7-5d59ea194465
2dcfc6b2-0763-4fb9-879f-33e66fda5c32,National Aeronautics and Space Administration grant,80NSSC19K0912,a4e07475-572f-48db-b2e7-5d59ea194465
f53e89a5-63c3-4c6d-9bc3-db5eea533b93,National Aeronautics and Space Administration grant,80NSSC24K1241,a4e07475-572f-48db-b2e7-5d59ea194465
fe3bfb00-455a-46d1-99a5-f977e2a87269,National Aeronautics and Space Administration grant,NNX15AU57G,a4e07475-572f-48db-b2e7-5d59ea194465
d6d7b323-d4b9-46f3-8f41-5f5feab90b82,National Aeronautics and Space Administration grant,80NSSC20K1581,a4e07475-572f-48db-b2e7-5d59ea194465
