id,name,identifier,definition,abbreviation,backgroundColor,textColor,children
cf7c276e-e92a-498a-91d5-b50b249f6677,Monitoring,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Monitoring,,Moni,#ACE5D9,#000000,
e409c1b7-060f-4bf0-a074-dd6cbf5b6380,Observatory/Instrument Models,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#ObsInst,,ObMo,#ACE5D9,#000000,
59efcc8d-917f-4f16-9169-cc3d22281dae,Operations,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Operations,,Oper,#ACE5D9,#000000,
451de399-2de9-4d1a-892b-7f46f88677fb,Orchestration,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Orchestration,,Orch,#ACE5D9,#000000,
0a10a375-cfa3-4a58-befd-559990c30d44,Packet Decommutation,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#PacketDecommutation,,PaDe,#ACE5D9,#000000,
f155ebfc-ec77-4fd7-a6b1-7983b2dad245,Processing,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Processing,,Proc,#ACE5D9,#000000,
79056727-ca0f-442c-bbc7-29a68dd7b695,Science Data Processing,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#ScienceDataProcessing,,ScDP,#ACE5D9,#000000,
3b715e20-a87c-4ab8-b903-3d38f45bbfff,System Testing,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#SystemTesting,,SyTe,#ACE5D9,#000000,
5bcdb4d0-2bca-4959-a7e3-f58efd6a94bd,Models and Simulations,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#ModelsSimulations,,MoAS,#5070E5,#FFFFFF,"ae408800-621d-433d-ae88-626f605f9045,fde70e65-57ed-4bc3-a079-f99353776352,ffec26ad-d76f-47a3-9b3c-4916bbe2d031,0dd18a91-487a-4278-9ea6-cd5bfa67d7d1,6e015658-f6c7-41b8-bfc1-0ad470c0dab0,3b80be59-9259-48e1-b379-7ad249d9829c,e8e5f6e3-00f7-4315-8e2b-982e5b17118f,ad414841-fc09-4d30-bd04-455d853bb168,2c3c517c-12d1-4793-9987-4efc258cac98,ac6fe709-3c38-45e1-a775-76f9abce3cc9,f1953940-f715-4b72-923f-d76df1fc745d,b4a325fa-ce80-4644-a435-f0c79653bb0b,0d81f359-27f1-421c-82ad-edaeebaf76fc"
ae408800-621d-433d-ae88-626f605f9045,Data Guided,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#DataGuided,,DaGu,#ACB8E5,#000000,
fde70e65-57ed-4bc3-a079-f99353776352,Empirical,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Empirical,,Empi,#ACB8E5,#000000,
ffec26ad-d76f-47a3-9b3c-4916bbe2d031,Field-line Tracing,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#FieldlineTracing,,FiLT,#ACB8E5,#000000,
0dd18a91-487a-4278-9ea6-cd5bfa67d7d1,First Principles,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#FirstPrinciples,,FiPr,#ACB8E5,#000000,
6e015658-f6c7-41b8-bfc1-0ad470c0dab0,Forecasting,https://Heliophysics-Software-Search-Interface.readthedocs.io/en/latest.html/SoftwareFunctionality#Forecasting,,Fore,#ACB8E5,#000000,
