id,sort_value,software,person
62,1,8e349bce-5860-4c0b-9ee9-ebb684574262,6ae1e775-7e0b-4156-a246-7ea52fe37a50
317,1,d6fa3131-3ab1-48c9-bd8b-31c0461a9fb5,52da8ed1-f691-46f3-9827-6800e0e0bfd7
373,1,d0dcf8b7-d032-481b-b80e-dea683cc1fa4,bd0fc15e-47cf-4852-b624-2e9ad068f1c6
1,1,ac6f7ea3-062c-442f-abf9-9732a88fcc6b,52da8ed1-f691-46f3-9827-6800e0e0bfd7
394,1,ecd7fb7a-570b-4466-b0ea-8d4b60016036,75a5881d-2830-46d0-b598-81a5e6bacae0
396,1,110491fc-f060-4b9d-ab2c-bb0806824948,cf8220c8-e01b-4aba-ab5c-4a1eff592485
415,1,db2bcb8a-c799-4233-9699-dea23b975972,85e744f8-93bd-472c-a465-9c0998bc58b3
69,1,aff43790-897a-49b4-a4c6-f3506a6c4858,3a081711-1c82-402f-99ca-72767ffcca7f
70,1,8054183f-794a-4914-a8cb-a379bb9f1040,960ab3df-bb01-4534-bf4f-05e75bc9a5b1
71,1,65364bdd-6a19-404a-9a87-c1aa123017d3,a38b15e9-a0ab-4088-b083-89ed3ca70e26
72,1,aa39bfc8-4980-4663-adf0-b7ee94f6b976,a3bf3a23-4e6a-4d60-af08-287b1954425d
73,1,ad9602aa-4d82-4f9f-9ef5-053f92f2c9ff,4c934026-92a0-43dc-915e-00bb0ba2a6f8
17,1,b5742bb7-4c8e-45cd-9429-65cb75f32795,98f5fe92-507c-40d5-87c9-d9f9f06773c2
440,1,13b71402-f2cb-4aa3-9b17-639652e87ca8,b84a21c1-6b9b-4462-97fd-b83484265930
695,1,44bf8c74-399d-4b9f-82ee-164c62e525a8,432e3fb2-e9d1-4264-b653-8f90da548caf
696,1,52e4975a-0d6d-4bb0-91a3-862f8e113091,8b3e7d30-da7d-4d8e-a530-712c0aaf028f
78,1,91f97996-69a3-43b8-bdfc-20895502415f,481229d7-54be-4f5a-9b10-634cb08c6838
79,1,f6e3429d-e80e-4cf6-889e-44af1e93f87d,3a46e694-789a-4562-83d6-c22afb7ff43b
333,1,c9f100c2-e502-4a61-94d5-87ae0f4d3646,e49f3487-71e0-446e-ac76-930a15d96eff
196,1,4507d98e-44d1-40ea-8733-8047738b9a7a,cf47283e-57e9-45df-b736-f02459ce4aec
193,1,4409f409-077b-48c2-9421-b1802255499f,71352468-ff1c-481b-8f2e-a6b3e6c00f1b
83,1,55fe5714-b786-4cda-83f2-44afeb341a92,2f2f8c84-26a6-4541-a426-65edede4efd2
313,1,063b5195-7e46-4b16-a45c-25393fb8675f,7c2caad1-b39d-48e9-89e3-438b590a6316
190,1,7fe5501b-aab0-4b70-9fef-08933ccf7480,52da8ed1-f691-46f3-9827-6800e0e0bfd7
86,1,cf802366-d886-45a5-bd49-2566521a4bbe,b57d704d-ca85-457e-9ebc-7cdc16cf14af
20,1,e57951e6-9761-421e-b482-aebfd2804c81,a4fe31d5-3dff-4e85-acdc-ce4e783d4bd5
713,1,13659e76-e911-41da-bf99-30eb7b05defc,b434374c-df1e-4feb-baaa-5262d8dd19ad
718,1,52d61c70-77fd-4c4a-aae8-f4e24dde6de8,85223068-5da3-4f09-b541-00290b1e5238
719,1,9da56adf-1252-4ca9-85cf-5fd8fb950cdf,9bd994c7-abf7-4ec6-a03c-f28576730cab
722,1,15e95cb0-2008-4b98-83e9-0ce5a614b42c,e642af60-bc4f-46f2-9bed-b35ca53d77d1
92,1,86c00a32-6dca-4d77-bddb-75c36d0ec0ca,960ab3df-bb01-4534-bf4f-05e75bc9a5b1
332,2,181726f7-b361-4d04-8235-15729283791d,b8efa25e-6853-4dd6-9faf-a64f218a94a1
334,2,c9f100c2-e502-4a61-94d5-87ae0f4d3646,f30bcf6d-d1bd-42a6-844a-82eab8ae2dd2
338,2,f2cb2434-7d2e-4d87-8b97-6546d4931b29,135e92e4-98e6-4133-8e98-ba0b051910ef
340,2,54da66af-5ce4-4975-8560-258824988821,1bdb8ab1-0095-41fd-99b1-b51d084604da
342,2,06813bb3-7c73-425d-b9fe-6b4e80add160,b7541ba3-a976-45d4-b411-42ab6ce9c3f8
2,2,ac6f7ea3-062c-442f-abf9-9732a88fcc6b,e79e10b2-1839-414a-ae14-597d36cc61e0
18,2,b5742bb7-4c8e-45cd-9429-65cb75f32795,696e5a62-e16d-4da8-9b62-bb79df1b72c3
23,2,18ff9253-b11c-4ffa-9c3b-4b167c9f8cf2,9a3c53c1-e376-40de-89ac-503be6c1fb7b
32,2,43700827-e657-4937-ae69-c333b70d3756,b35afae4-a71f-48bc-8f5c-ef0b51293bd0
