id,sort_value,software,functioncategory
717,7,ec808735-972e-41e7-8549-a96d93881e26,5552c480-2ab8-4536-a9d6-07e62af64e08
726,7,9da56adf-1252-4ca9-85cf-5fd8fb950cdf,5552c480-2ab8-4536-a9d6-07e62af64e08
720,7,6adc2c82-61b3-41b4-89ca-62862bfe9b9f,5552c480-2ab8-4536-a9d6-07e62af64e08
708,7,80c6de8f-a5f2-4897-9ca8-593d8a126590,5552c480-2ab8-4536-a9d6-07e62af64e08
709,7,6325743f-ad5d-4c24-aca3-6262a70d78d7,5552c480-2ab8-4536-a9d6-07e62af64e08
711,7,4507d98e-44d1-40ea-8733-8047738b9a7a,5552c480-2ab8-4536-a9d6-07e62af64e08
714,7,d5abf164-694c-4a24-8528-7395a7a01326,5552c480-2ab8-4536-a9d6-07e62af64e08
670,8,7fe5501b-aab0-4b70-9fef-08933ccf7480,7efdd547-fdec-4698-b5bd-2e9f817abb57
671,8,4409f409-077b-48c2-9421-b1802255499f,7efdd547-fdec-4698-b5bd-2e9f817abb57
756,8,82f57fc4-357f-49d3-af4b-e8bfb0a35210,f8d4f0fc-f14a-4a5c-9250-c4f901cd9b59
653,8,18ff9253-b11c-4ffa-9c3b-4b167c9f8cf2,7efdd547-fdec-4698-b5bd-2e9f817abb57
694,9,1fd6fa60-cd5d-4e38-bfea-ea8dc5b25eaa,7efdd547-fdec-4698-b5bd-2e9f817abb57
680,9,d6fa3131-3ab1-48c9-bd8b-31c0461a9fb5,7efdd547-fdec-4698-b5bd-2e9f817abb57
652,9,b5742bb7-4c8e-45cd-9429-65cb75f32795,7efdd547-fdec-4698-b5bd-2e9f817abb57
697,9,8ee452af-f474-42ab-900a-691a1e25257f,7efdd547-fdec-4698-b5bd-2e9f817abb57
663,9,e2069dd1-ba2f-45fa-b2b7-9052a16f74cc,7efdd547-fdec-4698-b5bd-2e9f817abb57
660,9,b5867d88-1fd5-476e-98e0-498ccbf41655,7efdd547-fdec-4698-b5bd-2e9f817abb57
638,10,e8b6fe34-d598-4d53-86d0-288bc004c3e7,36b12c63-da8f-404a-909f-8e14df8cc7d4
639,10,1744df14-f1f1-451b-a384-28e3a1beba7f,36b12c63-da8f-404a-909f-8e14df8cc7d4
637,10,91f97996-69a3-43b8-bdfc-20895502415f,36b12c63-da8f-404a-909f-8e14df8cc7d4
724,10,1fd6fa60-cd5d-4e38-bfea-ea8dc5b25eaa,5552c480-2ab8-4536-a9d6-07e62af64e08
642,10,a73ebc78-1f89-4af8-8f67-2e35de947d16,36b12c63-da8f-404a-909f-8e14df8cc7d4
643,10,dab7d824-81ec-49ba-911a-b3d081469a84,36b12c63-da8f-404a-909f-8e14df8cc7d4
718,10,d6fa3131-3ab1-48c9-bd8b-31c0461a9fb5,5552c480-2ab8-4536-a9d6-07e62af64e08
707,10,e2069dd1-ba2f-45fa-b2b7-9052a16f74cc,5552c480-2ab8-4536-a9d6-07e62af64e08
647,10,20aeb28e-66c8-4695-a722-89a7f807c795,36b12c63-da8f-404a-909f-8e14df8cc7d4
