id,sort_value,software,region
393,2,7fe5501b-aab0-4b70-9fef-08933ccf7480,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
395,2,4409f409-077b-48c2-9421-b1802255499f,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
442,2,596d3936-d754-4c02-b8ae-20f69d4ac16b,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
468,2,13659e76-e911-41da-bf99-30eb7b05defc,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
472,2,15e95cb0-2008-4b98-83e9-0ce5a614b42c,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
332,2,aade4249-dedf-4938-9ad1-432553bf0c36,92ec40e6-66f8-4836-8116-7255c2ec1c11
402,2,a73ebc78-1f89-4af8-8f67-2e35de947d16,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
404,2,dab7d824-81ec-49ba-911a-b3d081469a84,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
414,2,9188840c-25ba-4ec8-b8c3-d32413aaf7a0,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
422,2,20aeb28e-66c8-4695-a722-89a7f807c795,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
360,2,55fe5714-b786-4cda-83f2-44afeb341a92,92ec40e6-66f8-4836-8116-7255c2ec1c11
408,2,84062431-340c-4ac1-bdc9-a79a431d9869,92ec40e6-66f8-4836-8116-7255c2ec1c11
389,2,6325743f-ad5d-4c24-aca3-6262a70d78d7,92ec40e6-66f8-4836-8116-7255c2ec1c11
391,2,1744df14-f1f1-451b-a384-28e3a1beba7f,92ec40e6-66f8-4836-8116-7255c2ec1c11
428,2,982c8a07-8ad1-400c-8842-2fb10ad69c21,92ec40e6-66f8-4836-8116-7255c2ec1c11
436,2,c9f100c2-e502-4a61-94d5-87ae0f4d3646,92ec40e6-66f8-4836-8116-7255c2ec1c11
398,2,59c24c09-5ecd-44c8-a324-5a7da62c634b,570cc790-dccf-4795-b3ca-5304457e5658
493,2,82f57fc4-357f-49d3-af4b-e8bfb0a35210,570cc790-dccf-4795-b3ca-5304457e5658
434,2,181726f7-b361-4d04-8235-15729283791d,92ec40e6-66f8-4836-8116-7255c2ec1c11
412,3,bdd706f0-b987-446b-b650-78d9d86f00b2,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
494,3,82f57fc4-357f-49d3-af4b-e8bfb0a35210,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
423,3,20aeb28e-66c8-4695-a722-89a7f807c795,570cc790-dccf-4795-b3ca-5304457e5658
449,3,e211347f-4b04-4765-a230-295f366390d1,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
324,3,b5742bb7-4c8e-45cd-9429-65cb75f32795,92ec40e6-66f8-4836-8116-7255c2ec1c11
335,3,11cb7b68-cfe7-4d6c-84ed-af5ab071e74c,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
452,3,6adc2c82-61b3-41b4-89ca-62862bfe9b9f,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
378,3,aebd4757-08dc-4ca0-be33-aa85171de59d,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
455,3,b8495e18-9a18-4e8f-8b88-85db6e74ec22,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
399,3,59c24c09-5ecd-44c8-a324-5a7da62c634b,dc5b9f37-8f97-454d-a7aa-21cf4aa94ddc
